id,transcript,emo,v,a,d,n
MSP-IMPROV-S01A-F03-P-FM02,Does not have to be like on the ball before I can pick up whatever?.,N,3.6,3.0,3.0,4.8
MSP-IMPROV-S01A-F03-P-FM03,so am i in moving backwards.,N,3.0,4.0,2.8,4.8
MSP-IMPROV-S01A-F03-P-FM04,What's going on the top?.,N,3.0,4.2,2.8,4.4
MSP-IMPROV-S01A-F03-P-FM05,This is the OK..I can get one..Properly..,N,3.571429,4.571429,2.0,4.142857
MSP-IMPROV-S01A-F03-P-FM06,"OK, cool..",N,3.2,4.2,3.0,4.2
MSP-IMPROV-S01A-F03-P-FM07,OK got it..Cool..,N,2.4,3.4,2.6,4.2
MSP-IMPROV-S01A-F03-P-MF01,Who is person a person be?.,N,3.0,4.833333,2.333333,3.166667
MSP-IMPROV-S01A-F03-P-MF02,Listen to be cool..,H,3.0,3.6,3.4,3.8
MSP-IMPROV-S01A-F03-P-MF03,This is Alan I'm gonna call you Alan call me. Whenever you like within reason..,N,2.833333,3.833333,2.833333,3.833333
MSP-IMPROV-S01A-F03-P-MF04,Don't hurt my feelings..,N,2.0,3.4,2.6,3.6
MSP-IMPROV-S01A-F03-P-MF05,"Oh, God..Call me things like that, your friend in the prompt..",H,3.8,3.4,3.2,4.8
MSP-IMPROV-S01A-F03-P-MF06,Is lazy and really good to me?.Hannah Allen Hannah..Tired..,N,2.8,4.0,3.0,4.0
MSP-IMPROV-S01A-F03-P-MF07,Tell Michael backwards cheese..,H,4.333333,4.166667,3.0,4.5
MSP-IMPROV-S01A-F03-P-MF08,"Oh, I've a question how long do these need to be like a couple lines of pizza do I need to be like involves?.",N,3.2,3.6,3.4,3.4
MSP-IMPROV-S01A-F03-P-MF09,"I call this stuff like that, you know, Hey, Alan, how you doing today look a little bit..",H,4.333333,3.5,3.333333,4.0
MSP-IMPROV-S01A-F03-P-MF10,"Where is it at like? What is with this task Oh? Yeah, you don't have to go you don't have to go..",X,3.625,3.5,2.75,3.75
MSP-IMPROV-S01A-F03-P-MF11,I guess there's like something like that..At..,N,3.4,4.0,3.2,4.4
MSP-IMPROV-S01A-F03-P-MF12,Riley just running to the scene to make sure we could work it out already or you still swimming..,N,3.4,3.8,3.4,3.8
MSP-IMPROV-S01A-F03-S-FM01,"Hey Alan, Yeah, it was a long night, but I'll be OK..",X,2.666667,4.666667,3.0,3.166667
MSP-IMPROV-S01A-F03-S-FM02,"Yeah, I have to go to class like 10 minutes..",X,2.166667,3.166667,3.166667,3.333333
MSP-IMPROV-S01A-F03-S-FM03,Yeah..,A,2.166667,2.833333,3.0,4.166667
MSP-IMPROV-S01A-F03-S-FM04,"Hey Alan,.",S,2.0,3.142857,3.142857,3.142857
MSP-IMPROV-S01A-F03-S-FM05,"I know just a little bit tired. Everything everything's good, though..",S,2.2,3.4,3.0,3.4
MSP-IMPROV-S01A-F03-S-FM06,Hi headed to class in Portland..,N,2.2,3.8,3.0,4.4
MSP-IMPROV-S01A-F03-S-FM07,Yeah..,X,3.6,2.8,3.6,2.2
MSP-IMPROV-S01A-F03-S-FM08,Yeah..,X,1.4,2.8,3.8,4.4
MSP-IMPROV-S01A-F03-S-MF01,"OK, I'll I don't know I mean? What do you have today?.",H,3.6,4.0,3.0,3.4
MSP-IMPROV-S01A-F03-S-MF02,What class are you going to do?.,N,2.833333,4.0,2.5,3.5
MSP-IMPROV-S01A-F03-S-MF03,Oppmann psychologiques know you tired you need to go to psychology..,N,2.8,3.8,3.0,4.2
MSP-IMPROV-S01A-F03-S-MF04,"Hey Alan, how you doing man..",H,3.6,4.0,3.4,3.8
MSP-IMPROV-S01A-F03-S-MF05,"Yeah, you look pretty tired..",N,2.2,3.6,3.2,3.8
MSP-IMPROV-S01A-F03-S-MF06,What class or classes?.,N,2.4,3.6,3.0,4.8
MSP-IMPROV-S01A-F03-S-MF07,Psychology eighth you need to go to psychology..,N,2.2,3.2,3.8,3.8
MSP-IMPROV-S01A-F04-P-FM01,once.,H,4.4,3.0,2.8,4.6
MSP-IMPROV-S01A-F04-P-FM02,Sounds good right late just leaving..,N,3.2,4.0,2.4,4.6
MSP-IMPROV-S01A-F04-P-FM03,Which way am I saying?.,N,3.2,3.6,2.0,4.6
MSP-IMPROV-S01A-F04-P-FM04,Sounds good right late just leaving..,H,3.6,3.6,3.8,4.2
MSP-IMPROV-S01A-F04-P-FM05,it is the hesitation erica a gang as i can like responds to a .,H,4.166667,3.666667,3.5,4.5
MSP-IMPROV-S01A-F04-P-FM06,How dare you suggest that I skip class?.,H,4.142857,3.0,3.142857,3.285714
MSP-IMPROV-S01A-F04-P-FM07,Nice to get mad at Tony just met..,H,4.4,3.8,2.6,4.8
MSP-IMPROV-S01A-F04-P-MF01,Is that gonna be a problem?.Oh..,N,3.2,4.2,2.8,4.6
MSP-IMPROV-S01A-F04-P-MF02,ready.,H,4.4,4.0,2.8,4.8
MSP-IMPROV-S01A-F04-P-MF03,Sounds good right late just leaving..,H,4.6,4.2,2.8,4.4
MSP-IMPROV-S01A-F04-S-FM01,How can I not?.,A,2.2,3.8,2.8,4.0
MSP-IMPROV-S01A-F04-S-FM02,"OK, just because you don't go to class doesn't mean that I can like some we skip? How can I not?.",N,2.8,3.4,3.8,3.8
MSP-IMPROV-S01A-F04-S-FM03,"OK, just because you skip class that mean I said, we should I don't know why would suggest that..",A,1.6,2.6,3.4,5.0
MSP-IMPROV-S01A-F04-S-MF01,Hey it's no problem skip class..,H,3.571429,3.571429,3.285714,3.428571
MSP-IMPROV-S01A-F05-P-FM01,I don't know which one was which of us what?.,H,3.8,4.0,2.8,4.6
MSP-IMPROV-S01A-F05-P-FM02,"Oh my God, I..",X,4.2,3.0,3.8,3.0
MSP-IMPROV-S01A-F05-P-FM03,"Either way..I can do it..Yeah, do you wanna be then or do you care?.",N,3.2,4.8,2.8,4.2
MSP-IMPROV-S01A-F05-P-FM04,So..Do we start anytime?.,N,3.2,4.6,2.6,4.6
MSP-IMPROV-S01A-F05-P-FM05,or damosel go reared in healing region a lourdois of his regard.,H,4.4,2.8,3.4,4.6
MSP-IMPROV-S01A-F05-P-FM06,Do you wanna switch now?.,N,3.0,3.833333,2.333333,3.5
MSP-IMPROV-S01A-F05-P-FM07,We can just redo it..,N,2.8,3.6,2.8,4.6
MSP-IMPROV-S01A-F05-P-FM17,I don't I need to take notes or I can't learn the material OK..,N,2.8,3.6,3.0,3.0
MSP-IMPROV-S01A-F05-P-MF01,"N***** Taco Bell Square Circle Guinea, pig jellyfish, couch feeling knows I'm all..Elbow..",H,3.6,3.8,3.0,3.6
MSP-IMPROV-S01A-F05-P-MF02,elderkin son.,H,4.2,3.4,2.8,3.6
MSP-IMPROV-S01A-F05-P-MF03,Um so the theory of black holes states that things have sucked into them and disappear forever. And we don't know why I might be wormholes. We don't really know..Dubs..,N,3.142857,4.571429,3.0,2.714286
MSP-IMPROV-S01A-F05-P-MF04,"Chicken 7'one to attempt the fly, but they usually fail and fall to their deaths, especially in living areas of survival..",N,3.0,4.166667,2.5,2.833333
MSP-IMPROV-S01A-F05-S-FM01,he .,A,2.4,3.8,2.4,2.8
MSP-IMPROV-S01A-F05-S-FM02,Of class..,N,2.8,4.0,2.6,3.2
MSP-IMPROV-S01A-F05-S-FM03,"Yeah, it's 8:45..",N,2.8,3.4,2.6,4.2
MSP-IMPROV-S01A-F05-S-FM04,"Yes, I have to go..",N,2.8,3.4,2.4,3.8
MSP-IMPROV-S01A-F05-S-FM05,Because I want a good grade in my class..,A,2.428571,3.428571,3.428571,3.571429
MSP-IMPROV-S01A-F05-S-FM06,It's not good enough..,X,2.333333,3.833333,2.333333,3.333333
MSP-IMPROV-S01A-F05-S-FM07,I'm trying to do well the full my GPA out because I'm failing calculus..,X,2.4,3.4,3.0,4.2
MSP-IMPROV-S01A-F05-S-FM08,"No, it's not..",N,2.4,3.0,3.2,3.8
MSP-IMPROV-S01A-F05-S-FM09,"Well, I lied..",A,2.4,3.0,3.4,2.4
MSP-IMPROV-S01A-F05-S-FM10,"So anyway, I guess I'm going to Class I'll be back later..I have to get some coffee, though..",N,2.4,3.8,2.6,3.6
MSP-IMPROV-S01A-F05-S-FM11,How can I not?.,A,1.857143,2.285714,4.285714,4.285714
MSP-IMPROV-S01A-F05-S-FM12,I'm getting coffee from the fridge. I'll be back tonight. I know you'll still be asleep because your always asleep when I come back..,H,3.8,2.2,3.8,2.8
MSP-IMPROV-S01A-F05-S-FM13,"John isn't taking notes for me, this morning, so I have to go to chemistry..",S,2.2,4.0,3.6,3.8
MSP-IMPROV-S01A-F05-S-FM14,Because the test is on Friday..,A,2.2,3.0,3.4,4.0
MSP-IMPROV-S01A-F05-S-FM15,I know you don't care about your grades but I do..,A,2.0,2.833333,3.666667,2.5
MSP-IMPROV-S01A-F05-S-FM16,Go..,N,2.6,3.2,3.2,3.6
MSP-IMPROV-S01A-F05-S-MF01,You are tired..,N,3.0,3.8,2.8,3.6
MSP-IMPROV-S01A-F05-S-MF02,I just come back to bed work will cuddle until your afternoon class..,N,2.5,4.0,2.166667,3.333333
MSP-IMPROV-S01A-F05-S-MF03,That's not right now..,H,3.2,4.0,3.0,3.6
MSP-IMPROV-S01A-F05-S-MF04,Search serial you very thing that cereal don't go..,N,3.0,3.166667,3.333333,3.166667
MSP-IMPROV-S01A-M01-P-FM01,Good..Plasma say you know it is just one class you should skip it don't worry..,N,3.166667,3.666667,2.833333,4.166667
MSP-IMPROV-S01A-M01-P-FM02,Angry with a straight face..,N,3.4,4.4,2.4,3.6
MSP-IMPROV-S01A-M01-P-MF01,"OK, I'm saying the target sentence? How can I not OK?.",N,3.0,4.5,2.666667,5.0
MSP-IMPROV-S01A-M01-P-MF02,I feel like dying hole in were talking and you see the last step..If I would say why don't you skip?.,N,2.8,4.8,3.4,4.0
MSP-IMPROV-S01A-M01-P-MF03,Um it should I start..,N,2.6,4.2,3.0,4.2
MSP-IMPROV-S01A-M01-S-FM01,"Oh, Hey, you don't look so good but pretty tired..",N,2.6,4.0,3.4,3.0
MSP-IMPROV-S01A-M01-S-FM02,"Well, I mean, you should probably skip this class don't worry about it..",N,2.857143,4.285714,3.0,3.714286
MSP-IMPROV-S01A-M01-S-FM03,What you look really tired I just figured that you know maybe missing one class will be such a big deal?.,N,2.5,3.666667,3.333333,4.0
MSP-IMPROV-S01A-M01-S-FM04,"Did you say so, but I really worry about your health?.",N,2.0,4.0,3.333333,3.333333
MSP-IMPROV-S01A-M01-S-FM05,Hey it looks like good what's up?.,N,2.8,4.0,3.4,3.4
MSP-IMPROV-S01A-M01-S-FM06,Well then don't just want class don't worry about it..,N,2.714286,4.142857,3.142857,3.142857
MSP-IMPROV-S01A-M01-S-FM07,"Well then don't just want class don't worry about it..Well, you don't look so good I think we should get some rest instead that's more important..",X,3.2,2.6,3.6,3.4
MSP-IMPROV-S01A-M01-S-MF01,Hey..Hey has your day been so far..,X,3.4,3.4,3.2,3.0
MSP-IMPROV-S01A-M01-S-MF02,Really?.,N,2.6,4.0,3.0,3.8
MSP-IMPROV-S01A-M01-S-MF03,You really shouldn't skip..,N,2.666667,3.833333,3.5,3.666667
MSP-IMPROV-S01A-M01-S-MF04,"Yeah, but I mean, if you miss class then it's gonna go on your record you really shouldn't I'm worried about you?.",N,2.5,3.333333,3.333333,3.666667
MSP-IMPROV-S01A-M01-S-MF05,I schools important OK..,N,2.8,3.6,2.8,3.2
MSP-IMPROV-S01A-M01-S-MF06,I'm going to class regardless I really wish you would come with me..,N,2.428571,3.714286,3.142857,3.714286
MSP-IMPROV-S01A-M02-P-FM01,I don't need to take my glasses off..,N,3.0,4.333333,2.666667,4.666667
MSP-IMPROV-S01A-M02-P-FM02,Shuffle tell him that..Sofia's possible..,H,4.0,3.2,2.6,3.2
MSP-IMPROV-S01A-M02-P-MF01,Yeah..It doesn't matter like we say around it right now OK..,H,3.6,3.8,3.2,4.4
MSP-IMPROV-S01A-M02-S-FM01,Well skip class..,N,3.2,4.2,3.0,3.0
MSP-IMPROV-S01A-M02-S-FM02,I do it..,N,3.166667,4.333333,2.166667,3.666667
MSP-IMPROV-S01A-M02-S-MF01,He's so tired..,N,2.4,4.4,2.2,2.2
MSP-IMPROV-S01A-M02-S-MF02,How can I wait? How can I not?.,N,3.0,3.6,2.6,3.6
MSP-IMPROV-S01A-M02-S-MF03,Man..,N,2.4,2.0,3.6,2.0
MSP-IMPROV-S01A-M03-P-FM01,i.,H,3.4,4.6,3.0,2.8
MSP-IMPROV-S01A-M03-P-FM02,i get angry.,N,3.6,4.2,2.0,4.6
MSP-IMPROV-S01A-M03-P-FM03,about it at.,H,3.571429,4.142857,2.571429,4.571429
MSP-IMPROV-S01A-M03-P-MF01,with a movement.,H,3.857143,3.0,3.142857,4.571429
MSP-IMPROV-S01A-M03-P-MF02,well we.,N,3.142857,4.0,3.285714,3.571429
MSP-IMPROV-S01A-M03-P-MF03,Go how can I not?.,H,3.333333,4.0,2.833333,3.5
MSP-IMPROV-S01A-M03-P-MF04,Thanks..,N,3.0,3.6,3.2,4.0
MSP-IMPROV-S01A-M03-S-FM01,Hey good morning..,X,3.833333,4.0,3.333333,3.666667
MSP-IMPROV-S01A-M03-S-FM02,You look tired..,N,2.833333,3.833333,2.833333,4.0
MSP-IMPROV-S01A-M03-S-FM03,You have to do this morning..,N,3.5,3.833333,3.333333,4.0
MSP-IMPROV-S01A-M03-S-FM04,Why you scab you happy?.,N,3.0,3.8,2.8,3.6
MSP-IMPROV-S01A-M03-S-FM05,Good morning..,N,3.666667,4.166667,2.833333,4.166667
MSP-IMPROV-S01A-M03-S-FM06,You doing?.,N,2.666667,4.333333,3.0,3.833333
MSP-IMPROV-S01A-M03-S-FM07,Yahoo the morning..,N,2.666667,3.833333,3.0,4.166667
MSP-IMPROV-S01A-M03-S-FM08,Ah Class 8355..,X,3.666667,4.0,3.0,4.166667
MSP-IMPROV-S01A-M03-S-FM09,Please do not go..,N,3.142857,4.0,3.285714,4.285714
MSP-IMPROV-S01A-M03-S-MF01,It's so early early..,H,3.333333,4.333333,3.0,4.166667
MSP-IMPROV-S01A-M03-S-MF02,I had to class..,N,3.0,4.4,2.4,4.0
MSP-IMPROV-S01A-M03-S-MF03,Psychology..,N,3.2,4.2,3.0,4.0
MSP-IMPROV-S01A-M03-S-MF04,How can I not?.,N,3.142857,4.285714,2.857143,3.714286
MSP-IMPROV-S01A-M03-S-MF05,I'm just got up so early..,N,3.0,4.375,2.75,4.375
MSP-IMPROV-S01A-M03-S-MF06,I don't have class in a second..,N,3.0,4.0,3.4,4.2
MSP-IMPROV-S01A-M03-S-MF07,Psychology..,N,3.4,3.4,2.6,4.0
MSP-IMPROV-S01A-M04-P-FM01,"OK..OK, with you want to be person to person B..",N,3.0,3.6,3.0,4.0
MSP-IMPROV-S01A-M04-P-FM02,"We can just do it, you don't like it so..",N,3.6,3.6,3.6,4.4
MSP-IMPROV-S01A-M04-P-FM03,Find a person in person meetings with..So weather..Ha..So what if I'm pression be able to ask you..Wake up..What wait what you are you look tired you know you been sick lately? Why don't you skip class this morning?.How long do you think that be very long right now?.,N,2.8,3.8,3.0,4.2
MSP-IMPROV-S01A-M04-P-FM04,"OK, OK..",N,3.2,3.4,3.0,3.2
MSP-IMPROV-S01A-M04-P-FM05,So what you wanna sell it out here..,N,2.6,4.2,1.8,3.6
MSP-IMPROV-S01A-M04-P-FM06,"OK, I think I..OK, you wanna go to try her..",N,3.0,3.8,3.2,4.4
MSP-IMPROV-S01A-M04-P-FM07,"I guess your first day, which means technically I'm not talking to talk to you until you don't have class and then you say don't like? How can I not?.",N,3.4,4.0,3.2,4.4
MSP-IMPROV-S01A-M04-P-FM08,Hello..OK..,H,3.6,2.8,3.4,3.6
MSP-IMPROV-S01A-M04-P-FM09,"OK..OK, um..",N,3.4,3.8,3.2,4.2
MSP-IMPROV-S01A-M04-P-FM10,OK..,N,3.5,3.5,2.666667,4.333333
MSP-IMPROV-S01A-M04-P-FM11,Super..,H,4.0,3.166667,3.666667,4.333333
MSP-IMPROV-S01A-M04-P-FM12,but .,N,3.285714,4.0,2.142857,4.0
MSP-IMPROV-S01A-M04-P-MF01,"Oh, yes..",N,3.0,3.8,3.0,3.8
MSP-IMPROV-S01A-M04-P-MF02,"OK, same as last time how can I not OK?.",N,3.2,3.6,3.2,4.0
MSP-IMPROV-S01A-M04-P-MF03,"Oh, yes..",N,3.0,3.8,3.0,4.0
MSP-IMPROV-S01A-M04-S-FM01,"Well, I got to wanted to skip class this morning. You look really sick and you been not feeling well lately and your grades have been dropping with why won't you just get this morning and then take a rest..",N,2.8,3.2,3.6,3.4
MSP-IMPROV-S01A-M04-S-FM02,"You know you been a little sick lately and you just don't look for awhile. I mean, you look tired. You were up all last night, setting for this classroom? Why don't you just skip this lecture today and not go in just take a little rest for today?.",N,2.833333,3.166667,3.666667,4.166667
MSP-IMPROV-S01A-M04-S-FM03,Listen you been not feeling well lately and you just look a little sick. You were up all last night studying for the exam this week? Why don't you just skip class? This morning and go later just get past this morning and take some rest?.,N,3.0,3.375,3.25,3.875
MSP-IMPROV-S01A-M04-S-MF01,Skip Class I can skip class my grades are 2 important..,A,1.833333,2.333333,3.833333,2.666667
MSP-IMPROV-S01A-M05-P-FM01,so as i am were so he don't necessary .,H,4.142857,3.857143,3.428571,4.0
MSP-IMPROV-S01A-M05-P-FM02,Both I suppose..,N,3.4,4.2,2.0,4.4
MSP-IMPROV-S01A-M05-P-FM03,So I don't be in you can be a..,N,4.0,4.4,3.0,3.4
MSP-IMPROV-S01A-M05-P-FM04,Do IBA.I love you..,N,3.0,4.0,3.2,4.0
MSP-IMPROV-S01A-M05-P-FM05,"The things that area, but.",N,3.4,4.4,3.0,4.6
MSP-IMPROV-S01A-M05-P-FM06,I like sleeping have a wonderful beautiful day..I sleep sometimes..,H,4.285714,3.0,3.857143,4.428571
MSP-IMPROV-S01A-M05-P-FM07,a.,H,4.4,2.8,3.2,4.6
MSP-IMPROV-S01A-M05-P-FM08,I forgot with the goal..I had leftover..OK got it..,H,4.833333,2.5,4.0,4.666667
MSP-IMPROV-S01A-M05-P-FM09,Oh totally screwed that up OK..,H,3.6,4.0,3.0,3.8
MSP-IMPROV-S01A-M05-P-FM10,are presently had an even.,N,3.0,4.0,3.0,4.4
MSP-IMPROV-S01A-M05-P-FM14,i got a.,H,4.4,2.4,3.4,4.4
MSP-IMPROV-S01A-M05-P-FM15,Oh..,H,4.4,2.8,3.8,4.4
MSP-IMPROV-S01A-M05-P-MF01,Sex for 11121362..,H,3.4,3.6,3.0,2.8
MSP-IMPROV-S01A-M05-P-MF02,Who is the pudding?.,H,4.0,3.6,3.2,4.2
MSP-IMPROV-S01A-M05-P-MF03,The way..,H,4.4,3.6,4.0,4.6
MSP-IMPROV-S01A-M05-P-MF04,"Oh, OK stop having and things an eternity, Infinity and equals 2 R +3 X 2 power of K Project..",N,3.6,3.8,3.2,3.6
MSP-IMPROV-S01A-M05-P-MF05,"The history of Thanksgiving Incread includes pilgrims, killing Native Americans and then eating Turkey..",H,3.6,3.4,3.2,2.4
MSP-IMPROV-S01A-M05-P-MF06,How many to eat Turkey actually made lobster in?.,H,3.8,4.2,3.4,4.4
MSP-IMPROV-S01A-M05-P-MF07,my hester in a low .,N,2.857143,4.285714,3.285714,4.285714
MSP-IMPROV-S01A-M05-P-MF08,OK..,N,3.0,4.8,3.0,4.8
MSP-IMPROV-S01A-M05-S-FM01,Are you OK?.,N,3.166667,3.5,3.166667,4.666667
MSP-IMPROV-S01A-M05-S-FM02,"Right now, I get 30 in the morning..",N,3.2,4.4,2.8,4.6
MSP-IMPROV-S01A-M05-S-FM03,Wake my closet..You really have to go..,X,2.833333,3.833333,3.166667,3.833333
MSP-IMPROV-S01A-M05-S-FM04,Why?.,N,2.6,3.4,3.0,3.8
MSP-IMPROV-S01A-M05-S-FM05,"Well, what's your grade right now..",N,2.75,4.25,3.375,4.5
MSP-IMPROV-S01A-M05-S-FM06,What is not good enough?.,N,3.4,3.6,3.2,4.2
MSP-IMPROV-S01A-M05-S-FM07,Is it be like 4.0 right now? Even without calculus?.,N,3.166667,3.666667,3.0,3.833333
MSP-IMPROV-S01A-M05-S-FM08,What do you have not heard by now?.,H,3.8,3.4,3.8,3.6
MSP-IMPROV-S01A-M05-S-FM09,Oh..Bing..,H,4.2,3.4,3.0,4.6
MSP-IMPROV-S01A-M05-S-FM10,"I'm just not go today, I'm so sad..",N,3.0,4.2,2.2,3.8
MSP-IMPROV-S01A-M05-S-FM11,"Well, I think I'm gonna bring up..",N,3.0,4.0,2.6,4.6
MSP-IMPROV-S01A-M05-S-FM12,But it's on Friday at 5 today..,O,2.6,3.4,3.2,3.6
MSP-IMPROV-S01A-M05-S-FM13,Just don't go..,N,3.0,3.8,2.6,4.2
MSP-IMPROV-S01A-M05-S-MF01,a.,N,2.666667,4.444444,2.444444,3.777778
MSP-IMPROV-S01A-M05-S-MF02,"Yeah, how late night stream stuff..",N,2.8,3.6,2.6,4.2
MSP-IMPROV-S01A-M05-S-MF03,"I have to go to class today, I have a test on Friday..",N,3.0,4.0,3.2,4.2
MSP-IMPROV-S01A-M05-S-MF04,"Yeah, but reviewing today in the Bible any couple new things that house..",N,3.0,3.142857,3.142857,4.0
MSP-IMPROV-S01H-F01-P-FM01,i get what i defeat.,X,3.0,3.6,3.0,4.2
MSP-IMPROV-S01H-F01-P-FM02,I got the job..,H,4.0,4.0,3.428571,3.428571
MSP-IMPROV-S01H-F01-P-FM03,Why not?.,N,2.75,3.125,3.125,3.75
MSP-IMPROV-S01H-F01-P-MF01,he is a matron have a far.,H,4.6,3.6,3.6,4.4
MSP-IMPROV-S01H-F01-S-FM01,Guess what I got the job..,H,4.0,2.833333,3.666667,3.666667
MSP-IMPROV-S01H-F01-S-FM02,I'm so excited..,H,5.0,1.666667,4.166667,3.333333
MSP-IMPROV-S01H-F01-S-MF01,"Hey, did you hear back about that job?.",H,4.4,2.6,3.2,2.6
MSP-IMPROV-S01H-F01-S-MF02,"Yeah, what do you say?.",H,4.6,2.2,4.0,4.8
MSP-IMPROV-S01H-F01-S-MF03,That's so cool are you gonna take it..,H,5.0,1.8,4.4,2.4
MSP-IMPROV-S01H-F01-S-MF04,So exciting..,H,3.857143,2.857143,3.142857,3.714286
MSP-IMPROV-S01H-F01-S-MF05,"Yeah, you have to get me outta gas man..",H,4.166667,2.333333,3.5,3.5
MSP-IMPROV-S01H-F02-P-FM01,Oh. Sorry..,N,2.833333,3.666667,2.666667,3.5
MSP-IMPROV-S01H-F02-P-MF01,Thank you..,N,3.6,3.2,2.6,3.4
MSP-IMPROV-S01H-F02-P-MF02,the house of that quick i say like tired.,H,3.6,4.2,3.4,4.4
MSP-IMPROV-S01H-F02-S-FM01,"Listen, I just got the news I got the job that I really wanted..",H,3.833333,2.666667,3.333333,3.333333
MSP-IMPROV-S01H-F02-S-FM02,How can I not?.,H,4.0,2.8,4.0,3.6
MSP-IMPROV-S01H-F02-S-FM03,It's a job of a lifetime..,H,4.166667,3.0,3.666667,3.166667
MSP-IMPROV-S01H-F02-S-FM04,Hey guess what I got the job that I wanted..,H,3.8,3.6,3.2,2.6
MSP-IMPROV-S01H-F02-S-FM05,The job of a lifetime..,H,4.166667,3.333333,3.666667,3.333333
MSP-IMPROV-S01H-F02-S-MF01,Did you get that job you applied for?.,H,3.666667,3.666667,3.5,3.833333
MSP-IMPROV-S01H-F02-S-MF02,Well are you gonna take it..,H,3.5,3.333333,3.333333,3.666667
MSP-IMPROV-S01H-F02-S-MF03,So happy for you..,H,4.6,2.2,3.4,2.8
MSP-IMPROV-S01H-F03-P-FM01,"I got there, oh wait..",H,4.166667,2.833333,3.833333,3.833333
MSP-IMPROV-S01H-F03-P-FM02,"OK, good, I just wanna make sure I really am trying to make this easier, that way..",H,3.8,3.0,3.4,4.6
MSP-IMPROV-S01H-F03-P-FM03,"Hell Yeah alright..Oh, this is OK, I'm gonna be the manager because I remember..",H,4.166667,2.5,3.666667,3.0
MSP-IMPROV-S01H-F03-P-FM04,"Oh wait s*** when does it yeah, just kidding..So close with that, he said, We do it again OK my bad..",H,4.0,2.571429,3.857143,4.857143
MSP-IMPROV-S01H-F03-P-FM05,COO COO..,H,4.6,3.6,3.2,4.2
MSP-IMPROV-S01H-F03-P-MF01,Be happy..,N,3.4,3.8,3.0,3.6
MSP-IMPROV-S01H-F03-P-MF02,Tell your job you gonna ask you so quickly just make it last like the full 10 seconds..,N,3.333333,4.166667,2.666667,4.666667
MSP-IMPROV-S01H-F03-P-MF03,Who is like you getting picked up?.It's gonna take it? How can I not been done?.,H,4.6,3.2,4.0,4.6
